Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
hyfJ, 0.385, 0.802, 0.351, 0.338, 0.858, 1.324, 0.347, 0.757, -0.113, 0.508, 0.179, 1.131
gsiC, 0.642, 0.328, 0.286, 0.353, 0.327, 0.267, 0.097, 0.610, -0.973, 0.850, -0.622, 0.296
metI, -0.314, 0.703, 0.171, 0.230, 0.078, 0.727, -0.514, 0.748, -0.321, 1.131, -0.768, 1.125
ymdB, 0.852, 0.677, 0.288, 0.339, 0.105, 0.406, 0.436, 0.651, -0.172, 1.037, -0.740, 0.604
ypdF, 0.652, 0.287, 0.200, 0.576, 0.537, 0.361, -0.460, 1.611, 0.137, 1.883, 0.042, 0.357
lsrD, -0.036, 0.730, 0.711, 0.136, 0.099, 0.236, -0.564, 1.528, -0.324, 0.405, -0.542, 0.293
hisI, -0.227, 0.924, -0.156, 0.745, 0.133, 0.441, -1.579, 1.730, -0.552, 0.721, -0.752, 0.328
yohC, 0.735, 0.407, 0.356, 0.159, 0.348, 0.193, 0.252, 0.659, -0.382, 0.894, -0.524, 0.685
yhgA, 1.582, 2.101, 0.263, 0.628, 0.529, 0.615, 1.396, 2.269, -2.765, 0.721, -0.849, 0.780
coaA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
glpA, 0.714, 0.677, 0.423, 0.551, 0.435, 0.122, -0.012, 1.727, 0.217, 1.007, -0.200, 0.721
pgm, -0.202, 0.166, 0.670, 0.775, 0.215, 0.948, -2.650, 1.428, -inf, nan, 1.002, 0.419
hepA, -0.051, 0.565, 0.452, 0.426, -0.396, 1.193, -0.729, 0.770, -0.686, 0.625, -0.644, 0.685
msrC, -inf, nan, inf, nan, 0.163, 0.210, -inf, nan, inf, nan, -1.078, 0.539
potF, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rzpD, inf, nan, 0.248, 0.475, -0.225, 1.339, inf, nan, -0.840, 0.798, -1.144, 0.763
yghR, 0.266, 0.793, 0.101, 0.414, 0.704, 2.213, 0.766, 0.622, -1.469, 0.919, 1.132, 2.027
ulaD, 0.331, 0.427, 0.368, 0.218, 0.120, 0.266, -0.132, 0.545, -0.210, 0.199, -0.626, 0.178
yidH, 1.168, 1.031, 0.280, 0.379, 0.820, 0.366, 1.051, 2.525, 0.320, 0.865, 0.002, 1.001
ppiD, 1.511, 1.736, 0.165, 0.556, 0.027, 0.553, 0.441, 0.770, -1.083, 1.536, -0.542, 0.489
fepD, 0.020, 1.092, 0.457, 0.238, 0.079, 0.435, 0.008, 0.696, -0.698, 1.062, -0.912, 0.566
garP, -0.506, 1.091, 0.161, 0.210, -0.372, 0.737, -0.654, 0.702, -inf, nan, -inf, nan
livH, 0.002, 1.140, 0.185, 0.236, 0.062, 0.412, -0.745, 0.449, -0.692, 0.365, -0.690, 0.226
ttcA, 0.354, 0.907, 0.777, 0.412, 0.416, 0.428, -0.055, 0.631, 0.447, 0.815, -0.309, 0.248
sgcX, -0.157, 1.691, 0.964, 1.220, 0.516, 1.414, -inf, nan, 0.311, 1.860, 0.154, 1.138
amtB, 0.017, 0.968, 0.561, 0.373, 0.549, 0.430, -0.030, 1.373, -0.950, 1.137, -0.097, 0.365
ynjD, -0.351, 0.210, 0.458, 0.578, -0.099, 0.359, -0.433, 0.812, -0.254, 0.837, -0.334, 0.709
kdgK, -0.405, 0.714, 0.404, 0.541, -0.108, 0.099, -0.725, 0.441, -0.382, 1.098, -1.077, 0.418
yoaD, -0.206, 0.971, -0.056, 0.563, 0.369, 0.373, -1.007, 1.274, -1.542, 1.211, -1.141, 0.743
citC, -0.151, 0.934, 0.661, 0.200, 0.304, 0.101, -0.930, 1.538, -1.289, 1.612, -0.544, 0.212
fldA, -0.760, 2.089, 1.047, 0.955, inf, nan, 0.824, 1.310, 0.549, 2.085, inf, nan
yeaQ, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rsxA, inf, nan, -inf, nan, -0.397, 1.704, inf, nan, -inf, nan, -1.023, 1.205
yjaH, 0.061, 0.603, 0.097, 0.535, -0.355, 0.476, -0.450, 0.759, -0.836, 1.386, -0.972, 0.590
yjcC, -0.988, 0.713, 0.411, 0.424, -0.053, 1.101, -inf, nan, -inf, nan, -inf, nan
nrdE, 0.582, 0.685, 0.581, 0.735, 0.556, 0.402, -0.294, 0.784, -0.144, 0.420, -0.476, 0.293
norR, 0.906, 0.583, 0.362, 0.130, 0.500, 0.299, 0.257, 0.607, 0.077, 1.250, -0.437, 0.190
eutK, 0.632, 1.002, 0.837, 0.612, 0.377, 0.243, 0.147, 0.731, 0.383, 1.889, -0.332, 0.161
fepA, 0.234, 0.496, 0.417, 0.239, 0.092, 0.255, -0.322, 0.259, -0.029, 0.920, -0.476, 0.420
yidI, -0.389, 0.814, 0.140, 0.277, 0.428, 0.577, -0.657, 1.174, -0.741, 2.123, -0.167, 0.791
insG, inf, nan, 0.497, 0.433, 0.334, 0.469, inf, nan, -inf, nan, -inf, nan
dsrA, -0.006, 0.901, 0.560, 0.510, -0.290, 0.127, -1.375, 0.941, -0.116, 2.144, -1.294, 0.278
agaA, 0.877, 1.109, 0.447, 0.486, 0.360, 0.417, 0.131, 0.622, -2.148, 0.971, -0.722, 0.476
waaC, 0.890, 0.231, 0.929, 0.616, 2.271, 0.824, 2.857, 1.531, 3.716, 2.290, 6.698, 3.529
ygiM, 0.093, 0.512, 0.240, 0.688, 0.056, 0.290, -0.487, 0.690, -0.778, 0.967, -0.780, 0.211
hypD, 0.336, 0.486, 0.530, 0.242, 0.218, 0.082, 0.196, 0.652, 0.451, 0.326, -0.365, 0.376
elfG, -0.208, 1.075, 0.232, 0.437, -0.263, 0.411, -0.643, 1.924, -0.990, 1.703, -1.287, 0.529
csrC, 0.045, 0.524, 0.456, 0.332, 0.235, 0.268, -0.342, 0.391, -0.138, 0.502, -0.754, 0.300
cbl, 0.018, 0.862, 0.305, 0.382, 0.463, 0.236, -0.035, 0.871, -0.850, 0.704, -0.370, 0.518
hisA, 0.329, 0.106, 0.576, 0.270, 0.208, 0.093, -0.496, 0.899, 1.250, 2.143, -0.379, 0.303
chiP, 0.149, 0.738, 0.322, 0.406, 0.368, 0.287, -0.227, 1.248, -0.799, 0.981, -0.480, 0.183
sufB, inf, nan, 1.136, 0.273, 0.453, 0.653, inf, nan, -inf, nan, 0.025, 0.754
yfcU, -0.854, 1.030, 1.052, 0.514, -0.459, 0.752, -1.580, 0.831, -0.062, 2.123, -1.060, 0.595
lafU, 0.554, 0.764, 0.395, 0.316, 0.068, 0.476, -0.721, 1.380, -inf, nan, -0.457, 0.770
malQ, 0.020, 0.214, 0.111, 0.495, 0.132, 0.370, 0.412, 0.757, -0.937, 0.698, -0.406, 0.626
glnQ, -0.543, 1.088, 0.437, 0.236, 0.240, 0.219, -0.531, 0.951, -0.959, 1.489, -0.763, 0.411
ybaY, 0.450, 0.630, 0.481, 0.147, 0.315, 0.170, 0.141, 0.496, -0.803, 1.096, -0.839, 0.110
srlE, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
baeS, 0.167, 0.165, 0.433, 0.126, 0.154, 0.627, 0.191, 0.126, -0.056, 0.260, -0.236, 0.389
kup, 0.391, 0.828, -0.173, 0.457, inf, nan, 1.215, 1.204, 0.257, 1.659, inf, nan
rbsR, 0.282, 0.440, 0.352, 0.030, 0.180, 0.423, -0.358, 0.491, -1.238, 0.679, -0.688, 0.255
yfhL, 0.090, 0.780, -0.094, 0.383, -0.051, 0.327, -0.251, 0.458, -0.200, 0.893, 0.003, 0.583
fruB, -0.007, 0.628, 0.398, 0.331, 0.368, 0.155, -0.202, 0.523, -0.469, 1.133, -0.308, 0.311
xylG, 0.520, 0.234, 0.416, 0.093, 0.253, 0.255, 0.312, 0.619, -0.107, 0.517, -0.641, 0.295
yejK, 0.118, 0.594, 0.597, 0.345, 0.477, 0.167, -0.614, 0.705, -0.566, 0.583, 0.046, 0.575
rihC, 0.656, 0.531, 0.140, 0.547, 0.097, 0.801, 0.384, 0.688, 0.247, 0.745, -0.707, 0.300
yfaW, -0.188, 1.106, 0.292, 0.574, 0.061, 0.354, -0.281, 0.824, -1.125, 0.743, -0.693, 0.336
mhpD, 0.486, 0.607, 0.365, 0.289, 0.429, 0.379, -0.158, 0.775, -0.608, 0.274, -0.627, 0.519
rffH, 0.637, 0.341, 0.206, 0.070, 0.190, 0.156, 0.176, 0.574, -1.354, 1.179, -1.205, 0.200
rplK, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
atpA, 0.965, 1.207, 0.519, 0.109, 0.544, 0.065, 1.126, 1.202, 0.707, 1.301, -0.701, 0.246
tpke70, -0.497, 1.166, -0.175, 0.477, 0.205, 0.299, -0.922, 0.729, -1.075, 1.544, -0.736, 0.216
ypjM_1, 0.175, 0.806, 0.387, 0.409, 0.639, 0.314, -0.312, 1.101, -2.186, 1.684, -1.071, 1.367
lacY, -0.037, 0.637, 0.656, 0.281, 0.569, 0.788, -0.028, 1.179, 0.344, 1.021, 0.006, 1.431
cysJ, 0.231, 0.788, -0.090, 0.414, 0.244, 0.322, -0.459, 0.786, -0.028, 0.448, -0.550, 0.279
yebZ, 0.434, 0.423, 0.320, 0.423, 0.408, 0.301, -0.184, 0.859, -0.256, 0.693, -0.273, 0.301
allA, 0.576, 0.450, 0.394, 0.084, 0.262, 0.264, 0.267, 0.406, 0.273, 0.963, -0.652, 0.526
yddW, -0.603, 1.069, 0.190, 0.424, 0.254, 1.184, -1.367, 0.209, -2.542, 2.501, -0.769, 1.286
yafW, inf, nan, 0.037, 1.104, -0.011, 0.671, inf, nan, -0.420, 1.849, -0.588, 0.921
yjhD, -0.345, 0.612, 0.422, 0.367, 0.091, 0.500, -0.492, 1.134, 0.409, 0.821, -0.818, 1.418
accA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
oxyR, 0.423, 0.743, 0.303, 0.411, 0.075, 0.281, -0.363, 1.711, -0.319, 0.891, -0.106, 0.465
intS, -0.656, 1.246, -0.562, 0.543, -0.054, 1.257, -1.178, 1.219, -1.854, 1.047, -0.617, 0.523
alsC, -1.294, 2.160, 0.098, 0.522, -0.509, 0.725, -1.396, 1.489, -0.776, 0.750, -1.188, 0.260
yphH, -0.805, 0.646, 0.870, 0.475, 0.095, 0.602, -0.869, 0.802, -0.309, 1.645, -0.276, 0.714
torD, 0.552, 0.828, 0.508, 0.585, 0.398, 0.228, -0.165, 0.895, -0.487, 0.719, -0.129, 0.597
elfA, 0.611, 0.553, 0.865, 0.485, 0.459, 0.192, 0.280, 0.671, -0.303, 1.233, -0.259, 0.645
aroE, 1.346, 1.582, 0.957, 0.630, 0.988, 1.312, 1.477, 2.475, 0.340, 2.427, 0.252, 1.766
yfdH, -0.227, 1.476, 0.311, 0.682, 0.049, 0.318, 0.045, 2.367, -0.205, 1.826, -0.586, 0.794
rpsG, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
yfgH, -0.563, 0.777, 0.096, 1.123, 0.346, 0.643, -1.113, 2.102, -0.967, 0.783, -0.688, 0.616
ydcY, -0.080, 0.707, -inf, nan, 0.668, 0.611, -0.152, 0.676, -0.231, 0.901, -0.179, 0.812
iraD, 0.457, 0.538, 0.627, 0.537, 0.681, 0.404, 0.410, 0.430, 0.763, 1.880, -0.354, 0.579
aaeA, 0.131, 1.123, 0.176, 0.157, 0.348, 0.771, -0.705, 0.699, -0.092, 0.488, -0.158, 0.350
ccmG, -0.074, 0.604, 0.517, 0.353, 0.344, 0.252, -0.323, 1.094, -0.673, 0.939, -0.738, 0.080
waaU, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan, -inf, nan
ycjD, -0.197, 0.747, 0.575, 1.071, 0.429, 0.405, -1.085, 1.780, -0.916, 1.814, -0.397, 0.403
tisB, -0.672, 1.184, 0.907, 0.437, 0.275, 0.536, -0.485, 1.189, 0.221, 1.567, -0.417, 1.168
ftsA, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
yfeW, -0.133, 0.465, 0.638, 0.472, 0.134, 0.252, -0.889, 0.682, 0.226, 0.809, -0.632, 0.067
rhtB, -0.027, 0.698, 0.257, 0.205, 0.317, 0.169, -0.226, 0.635, -0.235, 0.617, -0.559, 0.393
ypjK, -0.250, 1.162, 0.475, 0.858, 0.498, 0.275, -1.053, 2.993, -1.480, 1.803, -0.626, 0.727
ddpC, 0.080, 1.092, 0.330, 0.382, 0.048, 0.449, -0.612, 1.185, -0.246, 0.431, -0.587, 0.245
yjjY, -0.027, 1.498, 0.228, 0.366, 0.760, 0.819, -0.550, 1.792, 0.068, 0.741, 0.046, 0.399
yagE, inf, nan, -0.040, 0.507, -0.040, 0.444, inf, nan, -0.524, 2.527, -0.522, 0.798
hisD, -inf, nan, inf, nan, inf, nan, -0.741, 1.147, inf, nan, inf, nan
ydiP, 0.421, 0.678, 0.419, 0.284, 0.454, 0.197, -0.209, 0.964, -0.631, 1.333, -0.074, 0.634
phoR, 0.541, 0.345, 0.556, 0.225, 0.233, 0.200, 0.231, 0.263, -0.436, 0.786, -0.704, 0.345
appA, -0.469, 0.865, 0.463, 0.451, 0.201, 0.371, -0.353, 1.073, -inf, nan, -0.597, 0.689
kdgR, -0.072, 1.425, 0.704, 0.441, 0.132, 0.278, -0.409, 1.517, -0.347, 0.944, -0.938, 0.312
pspG, 0.723, 1.355, 0.164, 0.657, 0.073, 0.696, -0.166, 1.563, -1.030, 0.929, -0.370, 0.529
yaiV, 0.468, 0.765, 0.685, 0.603, 0.902, 0.646, 0.077, 1.186, -inf, nan, 0.290, 1.169
lolC, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
pmbA, 0.964, 0.863, 0.326, 0.329, 0.270, 0.375, 0.340, 1.019, -0.816, 1.266, -0.624, 0.206
yqfA, -0.016, 1.871, 0.200, 0.623, 0.095, 0.903, 0.073, 2.703, -0.906, 0.345, -0.280, 0.075
gadX, -0.257, 0.883, 0.241, 0.321, -0.069, 0.602, -0.091, 0.895, -1.060, 1.105, -0.561, 0.269
ybdJ, -0.577, 1.102, 0.716, 0.269, -0.117, 0.281, -0.720, 0.620, -0.387, 0.480, -0.872, 0.575
ydcM, 0.236, 0.672, 0.650, 0.497, 0.200, 0.444, 0.121, 0.786, -1.433, 2.588, -0.714, 0.559
C0293, 0.777, 0.940, 0.769, 0.578, -0.030, 0.186, 0.369, 1.258, 0.327, 0.815, -1.095, 0.117
gsiB, -0.042, 0.456, 0.481, 0.370, 0.252, 0.399, -0.154, 0.401, -0.273, 0.840, -0.342, 0.531
proX, -0.057, 0.573, 0.421, 0.296, 0.246, 0.268, -0.396, 0.581, 0.087, 0.290, -0.540, 0.450
sieB, -1.067, 0.718, -0.003, 1.067, inf, nan, -inf, nan, -1.312, 1.077, inf, nan
yggR, 0.581, 0.566, 0.436, 0.272, 0.467, 1.016, -0.250, 0.863, -1.709, 0.783, -0.261, 0.999
bfr, -1.389, 1.657, 0.881, 0.627, 0.035, 0.654, -1.577, 1.317, -1.132, 1.792, -1.074, 0.396
rsmD, 0.132, 0.796, 0.793, 0.319, 0.764, 0.444, -0.280, 0.603, -1.042, 0.792, -0.593, 0.613
dnaC, inf, nan, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan
yhdV, -0.427, 0.971, 0.874, 1.151, -0.171, 0.608, -1.485, 2.316, -inf, nan, -0.662, 1.146
cobS, 0.342, 0.551, 0.473, 0.341, 0.270, 0.286, -0.086, 0.485, -0.981, 0.806, -0.415, 0.126
ycjU, 0.525, 0.682, 0.761, 0.318, 0.408, 0.358, -0.074, 0.746, -0.336, 0.444, -0.807, 0.223
atoD, 0.604, 0.515, 0.456, 0.262, 0.186, 0.168, 0.468, 0.744, -0.081, 0.427, -0.458, 0.433
fliA, 0.211, 1.057, 0.490, 0.504, 0.340, 0.249, -0.100, 0.646, -0.428, 0.981, -0.709, 0.374
ygaP, 0.222, 0.286, 0.369, 0.346, 0.413, 0.741, -1.119, 1.409, 0.496, 1.432, -0.458, 0.550
frdA, 0.407, 1.782, 0.565, 0.850, 1.444, 2.385, 0.510, 2.018, -0.300, 1.444, 0.787, 2.523
srlB, 0.700, 0.439, 0.239, 0.228, 0.285, 0.166, 0.127, 0.793, -0.367, 0.988, -0.352, 0.580
yafC, 0.507, 0.783, 0.287, 0.555, 0.299, 0.360, -0.316, 0.958, 0.470, 1.063, -0.273, 0.985
ydaV, 0.431, 0.341, 0.643, 0.726, 0.110, 0.439, -0.858, 1.948, 0.143, 1.586, -0.985, 0.358
arnA, 0.188, 0.588, 0.335, 0.231, 0.229, 0.139, -0.157, 0.623, -0.430, 0.654, -0.601, 0.405
insB-3, 0.337, 0.469, 0.876, 2.256, 0.330, 0.411, 0.056, 1.900, -inf, nan, -0.920, 0.767
mltF, 0.454, 0.372, 0.250, 0.364, 0.378, 0.418, 0.485, 1.184, -0.308, 0.656, -0.579, 0.461
yqeB, 0.506, 1.264, 0.453, 0.666, 0.273, 0.479, 0.257, 1.471, -0.900, 1.660, -0.893, 0.908
lpxA, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
miaA, -0.654, 0.828, -0.434, 1.063, 0.597, 1.051, -0.183, 0.530, -inf, nan, -0.116, 0.769
pyrG, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yhjE, 0.029, 0.809, 0.399, 0.495, 0.199, 0.121, -0.436, 1.030, -0.796, 1.049, -0.778, 0.441
cueR, -0.249, 0.434, 0.912, 0.679, 0.009, 0.358, -0.201, 0.521, -0.541, 0.503, -0.406, 0.617
cas1, 0.498, 0.699, 0.418, 0.960, 0.449, 0.279, 0.565, 0.973, -inf, nan, -0.914, 0.504
yfgC, 0.447, 0.476, 0.596, 0.235, 0.194, 0.549, 0.085, 0.674, -0.786, 1.663, -0.383, 0.230
yfeC, -0.180, 0.512, 0.172, 0.229, 0.770, 0.400, -0.622, 1.051, -0.798, 1.535, -0.361, 0.558
thrL, 0.720, 0.898, 0.439, 0.826, 0.993, 0.373, 1.322, 0.481, 0.162, 0.653, 0.425, 0.328
nrdA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
nudF, -0.009, 0.719, 0.378, 0.465, -0.353, 0.537, -0.566, 1.051, -0.550, 1.144, -0.513, 0.635
gcvB, -1.461, 1.142, 0.083, 0.691, -0.675, 0.117, -2.692, 0.979, -inf, nan, -0.711, 0.615
tesB, 0.140, 0.963, 0.508, 0.402, 0.194, 0.206, -1.132, 0.853, -0.495, 0.561, -0.668, 0.121
paaI, -0.088, 0.702, 0.430, 0.517, 0.021, 0.459, -0.678, 1.224, -0.653, 1.308, -0.554, 0.229
murF, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
rspA, 0.959, 0.694, 0.757, 0.781, 0.427, 0.551, -0.201, 1.744, -0.452, 1.267, -0.853, 0.200
yhhT, 0.622, 0.684, 0.446, 0.588, 0.650, 1.422, -0.190, 0.627, -1.093, 0.903, -0.575, 1.487
yciI, -0.218, 0.735, 0.238, 1.118, 0.527, 0.214, -0.708, 2.046, -0.346, 1.202, -0.664, 0.551
rpsM, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
usg, 1.187, 1.134, 1.049, 0.424, 1.220, 0.622, 0.852, 0.990, 1.271, 1.873, 1.310, 0.598
nadB, -0.119, 0.981, 0.534, 0.253, 0.464, 0.086, -0.588, 0.421, -0.179, 0.309, -0.438, 0.349
ycbV, -inf, nan, 0.483, 0.724, 0.438, 0.314, -inf, nan, -0.851, 1.906, -0.728, 0.501
leuO, 0.219, 0.543, 0.366, 0.260, 0.326, 0.210, -0.485, 0.512, -1.009, 0.546, -0.420, 0.245
yheU, -inf, nan, -0.611, 0.537, inf, nan, -inf, nan, -inf, nan, nan, nan
yjdF, inf, nan, 0.692, 1.339, 0.831, 0.421, inf, nan, 0.266, 1.446, -0.672, 0.973
waaI, inf, nan, -0.071, 0.372, -0.459, 0.908, inf, nan, -2.221, 1.359, -0.665, 0.499
yphA, -inf, nan, inf, nan, 0.837, 1.163, -0.951, 0.461, nan, nan, -inf, nan
ybcQ, -0.382, 0.679, 0.200, 1.086, -inf, nan, -1.116, 1.037, -inf, nan, -inf, nan
yjjA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
nagD, -inf, nan, -0.001, 0.876, -0.273, 0.733, -inf, nan, -inf, nan, -0.199, 0.754
yabQ, -1.261, 1.549, inf, nan, 1.074, 1.526, -inf, nan, inf, nan, 0.564, 0.961
rffD, -0.214, 0.546, 0.155, 0.184, 0.290, 0.149, -0.526, 0.336, -1.532, 2.132, -0.397, 0.441
fimC, -0.463, 1.499, 0.644, 0.420, -0.156, 0.597, -1.081, 1.145, -0.674, 0.767, -0.978, 0.613
arcZ, -inf, nan, -inf, nan, inf, nan, -0.802, 0.607, -inf, nan, nan, nan
ykgI, -inf, nan, -0.529, 0.546, -inf, nan, -0.434, 1.057, -inf, nan, -inf, nan
prlC, -0.805, 0.823, 0.653, 0.834, 0.345, 0.584, -inf, nan, -0.784, 1.599, -0.374, 0.441
yeeL_1, 0.377, 2.546, 0.575, 0.786, -0.094, 1.203, -0.960, 2.046, 0.912, 1.965, -1.121, 0.988
rfaH, -0.473, 0.898, 0.668, 0.082, 0.076, 0.597, -0.720, 0.156, -0.203, 0.442, -0.819, 0.357
ygiV, 0.713, 1.365, 0.554, 0.508, 0.243, 0.417, -0.405, 2.155, -0.873, 1.902, -0.282, 0.817
plaP, 0.109, 0.382, 0.609, 0.160, 0.164, 0.561, -0.309, 0.644, 0.136, 0.308, -0.381, 0.489
cheY, 0.172, 0.930, 0.837, 0.865, 0.889, 1.341, -0.332, 0.469, 0.089, 1.671, 0.484, 0.846
ybbM, 0.345, 0.862, 0.342, 0.249, 0.098, 0.280, 0.114, 0.578, -0.255, 0.397, -0.592, 0.528
yhcH, 0.033, 0.278, 0.528, 0.161, 0.262, 0.616, -0.133, 0.642, 0.132, 1.288, -1.006, 0.499
nlpA, 0.178, 0.327, 0.030, 0.299, -0.042, 0.336, 0.518, 0.383, -1.156, 0.700, -0.788, 0.848
purC, 0.713, 0.297, 0.310, 0.425, 0.075, 0.354, 0.122, 0.926, -1.194, 0.795, -0.721, 0.329
ydiE, 0.308, 0.399, 0.826, 0.628, 0.600, 0.685, 0.491, 0.567, 0.132, 1.451, -0.386, 0.459
yhbV, 0.312, 0.672, 0.701, 0.519, 0.142, 0.589, 0.103, 1.157, 1.289, 0.853, -0.626, 0.496
potE, inf, nan, 0.222, 0.735, 0.123, 1.388, inf, nan, -0.973, 1.324, -0.588, 0.353
citX, 1.664, 2.140, 0.948, 0.325, 0.420, 0.325, 0.900, 0.956, -0.494, 0.821, -0.633, 0.736
nanR, 0.036, 0.725, 0.303, 0.232, 0.288, 0.340, -0.147, 0.896, -1.084, 1.094, -0.437, 0.977
hycA, 0.165, 0.260, 0.539, 0.286, 0.258, 0.061, -0.587, 0.817, -0.398, 0.211, -0.632, 0.020
yibN, 0.613, 0.904, 0.758, 0.646, 0.024, 0.501, 0.110, 0.692, -inf, nan, -1.466, 0.408
insC-3, 0.346, 0.943, 0.428, 0.283, 0.267, 0.252, 0.374, 1.126, -0.395, 0.533, -0.703, 0.362
yiiM, 0.756, 1.014, 0.285, 0.648, 0.082, 0.391, -0.053, 0.878, -0.537, 1.609, -1.037, 0.946
yceJ, -0.690, 0.249, 0.559, 0.451, -0.093, 0.536, -1.061, 0.495, -0.053, 0.634, -0.677, 0.155
wrbA, 0.224, 0.369, 0.808, 0.386, 0.327, 0.211, -0.224, 0.587, -1.083, 1.228, -0.682, 0.759
ygcW, 0.183, 0.943, 0.206, 0.191, 0.358, 0.148, 0.303, 0.378, -1.870, 0.932, -0.519, 0.580
malP, -0.404, 1.265, inf, nan, -inf, nan, -1.132, 1.777, inf, nan, -0.340, 1.009
glcB, -0.310, 1.255, 0.623, 0.305, 0.502, 0.550, -0.448, 0.992, -0.755, 1.213, -0.193, 1.351
ispF, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
ygeG, nan, nan, inf, nan, nan, nan, nan, nan, nan, nan, inf, nan
ariR, -1.585, 0.827, -0.516, 0.924, -0.047, 0.066, 0.111, 0.670, -1.016, 1.632, -0.415, 0.827
serX, 2.807, nan, 0.541, nan, -0.737, nan, 3.585, nan, -inf, nan, 0.000, nan
hyfR, -0.409, 1.021, 0.429, 0.073, 0.360, 0.297, -0.016, 0.641, -0.400, 1.582, -0.527, 0.076
acrF, 0.038, 0.419, 0.535, 0.292, 0.168, 0.225, -0.531, 0.854, -0.149, 1.194, -0.490, 0.259
tdcR, -1.312, 0.942, -0.255, 0.764, -0.792, 0.836, -1.529, 0.619, -0.414, 0.508, -0.826, 0.366
secF, -0.533, 0.978, -0.233, 0.502, 0.240, 0.559, -0.731, 0.666, -1.549, 1.521, -0.249, 0.292
bcsF, 0.073, 1.968, 0.343, 0.271, 0.151, 0.130, -0.233, 1.088, -0.604, 0.934, -0.852, 0.504
yehR, -0.406, 0.919, 0.456, 0.551, -0.015, 0.321, -0.083, 1.547, -0.226, 1.229, 0.007, 0.557
marR, -0.807, 0.813, 0.847, 0.834, 0.418, 0.557, -inf, nan, -1.009, 1.073, -0.987, 0.985
ymbA, 0.967, 0.991, 0.492, 0.423, 0.462, 0.423, 0.205, 1.680, -0.944, 1.157, -0.769, 0.206
gmd, 0.005, 0.700, 0.645, 0.382, 0.225, 0.142, -0.398, 0.545, -0.468, 0.354, -0.499, 0.203
yhbS, 0.187, 0.873, 0.309, 0.481, 0.531, 0.613, 0.151, 0.867, -0.350, 0.282, -0.790, 0.340
deoA, 0.013, 0.325, 0.557, 0.341, 0.208, 0.418, -0.812, 0.654, -0.414, 0.457, -0.815, 0.421
mrdA, nan, nan, inf, nan, 3.483, 3.518, nan, nan, nan, nan, 1.537, 4.538
yccM, 1.027, 1.168, 0.762, 0.551, 0.365, 0.204, 0.457, 1.226, 0.045, 1.145, -0.464, 0.580
alaA, -0.459, 1.515, 0.636, 0.389, 0.028, 0.531, -0.602, 2.499, 0.221, 0.340, -0.401, 0.409
yhjV, 0.070, 0.593, 0.532, 0.455, 0.222, 0.207, -0.590, 0.309, -0.430, 1.290, -0.693, 0.301
rpmD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
mprA, -0.573, 0.440, 0.106, 0.600, 0.170, 0.485, -0.534, 0.631, -1.139, 1.921, 0.032, 0.739
ycgV, -inf, nan, 0.966, 1.082, inf, nan, -0.731, 1.211, -0.467, 0.350, inf, nan
tsr, -1.292, 1.688, 0.574, 0.447, -0.540, 0.739, -0.900, 1.658, -0.221, 1.636, -1.499, 1.011
aroG, 0.240, 0.138, 0.182, 0.289, 0.013, 0.363, -0.328, 0.732, -0.428, 1.733, -0.810, 0.403
yqeK, -inf, nan, 0.208, 0.293, inf, nan, -inf, nan, -inf, nan, nan, nan
yihG, -0.563, 2.611, 0.267, 0.463, 0.640, 0.315, -0.997, 1.668, -0.509, 0.974, -0.610, 0.241
ygeW, 0.346, 2.371, -0.322, 1.303, 1.693, 2.097, -0.323, 3.354, -1.379, 1.344, 0.554, 1.697
purD, 0.468, 0.580, 0.289, 0.334, 0.357, 0.389, -0.219, 0.601, -0.846, 1.241, -1.074, 1.015
